id,rowid,avalue,addressout,addressin,bvalue,bit_position,buttonpath,code,decimal,defaultvalue,delay,delta,description,dimension,frequency,functioncode,grpcategory,idgroup,idhsvariable,idvarmdl,idvariable,imageoff,imageon,inserttime,isactive,iscancelled,ishaccp,islogic,isonchange,lastupdate,length,maximum,measureunit,minimum,priority,readwrite,signed,todisplay,type,varencoding,detail_id,devicemodel
956fd767-c1c4-487d-8ca8-aa93bc94f55f,2739,,8,8,,9,,Al_Overload_C8_L1,false,0,0,0,L1 - Compressor 8 overload alarm,16,30,,43,8,-1,60376,49949,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
89d01756-fa99-470b-b2f6-a1f30e50aecb,2740,,108,108,,9,,Al_Overload_C8_L2,false,0,0,0,L2 - Compressor 8 overload alarm,16,30,,43,8,-1,60377,49950,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
f91697ee-9994-4896-92eb-50068f1c7def,2741,,5,5,,5,,Al_Rotation_C1_L1,false,0,0,0,L1 - Compressor 1 rotation alarm,16,30,,43,8,-1,60387,49961,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,3,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
d98674c2-d60f-40ca-9494-3d1c9de0fd72,2742,,105,105,,5,,Al_Rotation_C1_L2,false,0,0,0,L2 - Compressor 1 rotation alarm,16,30,,43,8,-1,60389,49963,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,3,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
14d5b7d9-c848-4d13-bb3a-5d15ee210f69,2743,,127,127,,0,,Al_Fan3_Or_L2,false,0,0,0,L2 - Fan 3 alarm,16,30,,48,8,-1,60396,49970,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
6a13a7a6-ab08-44dc-9b86-3f277e59982b,2744,,7,7,,2,,Al_HP_C5_L1,false,0,0,0,L1 - Compressor 5 high pressure pressostat alarm,16,30,,43,8,-1,60409,49983,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
b7e8f073-4307-4aa3-b620-0fadf457c7ab,2745,,105,105,,3,,Al_LP_C1_L2,false,0,0,0,L2 - Compressor 1 low pressure pressostat alarm,16,30,,43,8,-1,60411,49985,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
88fe59fd-6a31-4733-8a0d-8f1b09e3bd8f,2746,,53,53,,0,,Al_Prb_External_Temp,false,0,0,0,L1 - External temperature probe alarm,16,30,,46,8,-1,60427,50001,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,3,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
f91b4bf3-2631-4458-98e4-c2bd9c75ccc0,2747,,5,5,,3,,Al_LP_C1_L1,false,0,0,0,L1 - Compressor 1 low pressure pressostat alarm,16,30,,43,8,-1,60430,50004,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
acb8824d-1b0b-4a35-be28-61d00940b409,2748,,107,107,,2,,Al_HP_C5_L2,false,0,0,0,L2 - Compressor 5 high pressure pressostat alarm,16,30,,43,8,-1,60431,50005,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
